Func: 0 | Step: 1.000000 | Method: spectral | ProcType: f0t255 |  => 20/40, 50%
Func: 1 | Step: 1.000000 | Method: spectral | ProcType: f0t255 |  => 22/40, 55%
Func: 2 | Step: 1.000000 | Method: spectral | ProcType: f0t255 |  => 23/40, 57.5%
Func: 3 | Step: 1.000000 | Method: spectral | ProcType: f0t255 |  => 21/40, 52.5%
Func: 0 | Step: 0.500000 | Method: spectral | ProcType: f0t255 |  => 20/40, 50%
Func: 1 | Step: 0.500000 | Method: spectral | ProcType: f0t255 |  => 23/40, 57.5%
Func: 2 | Step: 0.500000 | Method: spectral | ProcType: f0t255 |  => 23/40, 57.5%
Func: 3 | Step: 0.500000 | Method: spectral | ProcType: f0t255 |  => 21/40, 52.5%
Func: 0 | Step: 0.100000 | Method: spectral | ProcType: f0t255 |  => 20/40, 50%
Func: 1 | Step: 0.100000 | Method: spectral | ProcType: f0t255 |  => 23/40, 57.5%
Func: 2 | Step: 0.100000 | Method: spectral | ProcType: f0t255 |  => 23/40, 57.5%
Func: 3 | Step: 0.100000 | Method: spectral | ProcType: f0t255 |  => 21/40, 52.5%
Func: 0 | Step: 1.000000 | Method: dbscan | ProcType: f0t255 |  => 20/40, 50%
Func: 1 | Step: 1.000000 | Method: dbscan | ProcType: f0t255 |  => 20/40, 50%
Func: 2 | Step: 1.000000 | Method: dbscan | ProcType: f0t255 |  => 20/40, 50%
Func: 3 | Step: 1.000000 | Method: dbscan | ProcType: f0t255 |  => 20/40, 50%
Func: 0 | Step: 0.500000 | Method: dbscan | ProcType: f0t255 |  => 20/40, 50%
Func: 1 | Step: 0.500000 | Method: dbscan | ProcType: f0t255 |  => 20/40, 50%
Func: 2 | Step: 0.500000 | Method: dbscan | ProcType: f0t255 |  => 20/40, 50%
Func: 3 | Step: 0.500000 | Method: dbscan | ProcType: f0t255 |  => 20/40, 50%
Func: 0 | Step: 0.100000 | Method: dbscan | ProcType: f0t255 |  => 20/40, 50%
Func: 1 | Step: 0.100000 | Method: dbscan | ProcType: f0t255 |  => 20/40, 50%
Func: 2 | Step: 0.100000 | Method: dbscan | ProcType: f0t255 |  => 20/40, 50%
